r030,txt,rate,cc,exchangedate
﻿36,Австралійський долар,22.9596,AUD,04.11.2022
﻿124,Канадський долар,26.5115,CAD,04.11.2022
﻿156,Юань Женьміньбі,4.9975,CNY,04.11.2022
﻿191,Куна,4.7278,HRK,04.11.2022
﻿203,Чеська крона,1.452,CZK,04.11.2022
﻿208,Данська крона,4.7867,DKK,04.11.2022
﻿344,Гонконгівський долар,4.6585,HKD,04.11.2022
﻿348,Форинт,0.087445,HUF,04.11.2022
﻿356,Індійська рупія,0.44113,INR,04.11.2022
﻿360,Рупія,0.0023298,IDR,04.11.2022
﻿376,Новий ізраїльський шекель,10.2381,ILS,04.11.2022
﻿392,Єна,0.24642,JPY,04.11.2022
﻿398,Теньге,0.078416,KZT,04.11.2022
﻿410,Вона,0.025678,KRW,04.11.2022
﻿484,Мексиканське песо,1.8491,MXN,04.11.2022
﻿498,Молдовський лей,1.8974,MDL,04.11.2022
﻿554,Новозеландський долар,21.0105,NZD,04.11.2022
﻿578,Норвезька крона,3.4432,NOK,04.11.2022
﻿643,Російський рубль,0.58739,RUB,04.11.2022
﻿702,Сінгапурський долар,25.6856,SGD,04.11.2022
﻿710,Ренд,1.9777,ZAR,04.11.2022
﻿752,Шведська крона,3.2588,SEK,04.11.2022
﻿756,Швейцарський франк,36.0584,CHF,04.11.2022
﻿818,Єгипетський фунт,1.5075,EGP,04.11.2022
﻿826,Фунт стерлінгів,40.8471,GBP,04.11.2022
﻿840,Долар США,36.5686,USD,04.11.2022
﻿933,Білоруський рубль,13.2919,BYN,04.11.2022
﻿944,Азербайджанський манат,21.5706,AZN,04.11.2022
﻿946,Румунський лей,7.2695,RON,04.11.2022
﻿949,Турецька ліра,1.9637,TRY,04.11.2022
﻿960,СПЗ (спеціальні права запозичення),46.571,XDR,04.11.2022
﻿975,Болгарський лев,18.2187,BGN,04.11.2022
﻿978,Євро,35.6288,EUR,04.11.2022
﻿985,Злотий,7.5678,PLN,04.11.2022
﻿12,Алжирський динар,0.26034,DZD,04.11.2022
﻿50,Така,0.34208,BDT,04.11.2022
﻿51,Вірменський драм,0.092485,AMD,04.11.2022
﻿214,Домініканське песо,0.67943,DOP,04.11.2022
﻿364,Іранський ріал,0.00087068,IRR,04.11.2022
﻿368,Іракський динар,0.025047,IQD,04.11.2022
﻿417,Сом,0.43792,KGS,04.11.2022
﻿422,Ліванський фунт,0.024258,LBP,04.11.2022
﻿434,Лівійський динар,7.2354,LYD,04.11.2022
﻿458,Малайзійський ринггіт,7.7358,MYR,04.11.2022
﻿504,Марокканський дирхам,3.3434,MAD,04.11.2022
﻿586,Пакистанська рупія,0.16567,PKR,04.11.2022
﻿682,Саудівський ріял,9.734,SAR,04.11.2022
﻿704,Донг,0.0014723,VND,04.11.2022
﻿764,Бат,0.95983,THB,04.11.2022
﻿784,Дирхам ОАЕ,9.9561,AED,04.11.2022
﻿788,Туніський динар,11.1906,TND,04.11.2022
﻿860,Узбецький сум,0.0032708,UZS,04.11.2022
﻿901,Новий тайванський долар,1.13321,TWD,04.11.2022
﻿934,Туркменський новий манат,10.4482,TMT,04.11.2022
﻿941,Сербський динар,0.30893,RSD,04.11.2022
﻿972,Сомоні,3.58,TJS,04.11.2022
﻿981,Ларі,13.2017,GEL,04.11.2022
﻿986,Бразильський реал,6.8424,BRL,04.11.2022
﻿959,Золото,59222.12,XAU,04.11.2022
﻿961,Срібло,691.44,XAG,04.11.2022
﻿962,Платина,33491.72,XPT,04.11.2022
﻿964,Паладій,65210.96,XPD,04.11.2022
